author_handle,month,day,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
ABC,5,1,0,83,147.87951807228916,12274,42.626506024096386,3538,258.66265060240966,21469,32.46987951807229,2695
ABC,5,1,1,6,78.33333333333333,470,52.166666666666664,313,174.16666666666666,1045,30.166666666666668,181
ABC,5,2,0,87,142.64367816091954,12410,42.87356321839081,3730,274.264367816092,23861,34.40229885057471,2993
ABC,5,2,1,4,138.25,553,59.5,238,260.75,1043,36.0,144
ABC,5,3,0,86,143.74418604651163,12362,39.56976744186046,3403,239.46511627906978,20594,21.627906976744185,1860
ABC,5,3,1,6,256.5,1539,32.666666666666664,196,336.8333333333333,2021,29.0,174
ABC,5,4,0,78,125.61538461538461,9798,43.256410256410255,3374,193.87179487179486,15122,28.153846153846153,2196
ABC,5,4,1,9,184.44444444444446,1660,64.33333333333333,579,410.55555555555554,3695,38.666666666666664,348
ABC,5,5,0,72,141.27777777777777,10172,36.77777777777778,2648,310.65277777777777,22367,24.51388888888889,1765
ABC,5,5,1,5,182.6,913,29.8,149,263.8,1319,33.4,167
ABC,5,6,0,64,87.484375,5599,35.703125,2285,154.765625,9905,17.0,1088
ABC,5,6,1,2,107.5,215,31.0,62,386.5,773,20.5,41
ABC,5,7,0,73,112.24657534246575,8194,39.726027397260275,2900,209.36986301369862,15284,22.589041095890412,1649
ABC,5,7,1,2,87.5,175,349.0,698,193.0,386,77.0,154
ABC,5,8,0,85,117.8,10013,29.63529411764706,2519,259.6,22066,17.91764705882353,1523
ABC,5,8,1,3,2571.0,7713,160.0,480,5364.333333333333,16093,473.3333333333333,1420
ABC,5,9,0,80,193.975,15518,48.8625,3909,332.8875,26631,47.35,3788
ABC,5,9,1,7,139.71428571428572,978,20.857142857142858,146,452.42857142857144,3167,16.0,112
ABC,5,10,0,81,134.320987654321,10880,43.03703703703704,3486,235.7530864197531,19096,24.530864197530864,1987
ABC,5,10,1,9,147.88888888888889,1331,159.33333333333334,1434,262.22222222222223,2360,159.44444444444446,1435
ABC,5,11,0,85,160.63529411764705,13654,52.023529411764706,4422,260.6,22151,32.50588235294118,2763
ABC,5,11,1,2,93.0,186,8.5,17,347.0,694,15.5,31
ABC,5,12,0,83,378.1927710843373,31390,54.36144578313253,4512,770.9759036144578,63991,53.65060240963855,4453
ABC,5,12,1,4,253.75,1015,31.0,124,832.75,3331,42.0,168
ABC,5,13,0,69,126.34782608695652,8718,55.57971014492754,3835,289.6521739130435,19986,21.536231884057973,1486
ABC,5,13,1,4,151.0,604,69.25,277,421.0,1684,24.5,98
ABC,5,14,0,69,169.05797101449275,11665,51.08695652173913,3525,412.94202898550725,28493,21.652173913043477,1494
ABC,5,14,1,5,128.0,640,28.6,143,433.8,2169,31.2,156
ABC,5,15,0,77,149.94805194805195,11546,47.922077922077925,3690,315.06493506493507,24260,27.545454545454547,2121
ABC,5,15,1,6,58.666666666666664,352,16.166666666666668,97,123.5,741,9.5,57
ABC,5,16,0,78,121.5,9477,46.43589743589744,3622,170.9102564102564,13331,22.76923076923077,1776
ABC,5,16,1,6,101.33333333333333,608,35.666666666666664,214,244.83333333333334,1469,177.83333333333334,1067
ABC,5,17,0,80,147.9,11832,53.9875,4319,247.0375,19763,31.075,2486
ABC,5,17,1,7,112.28571428571429,786,46.285714285714285,324,266.2857142857143,1864,30.0,210
ABC,5,18,0,94,148.74468085106383,13982,52.351063829787236,4921,255.69148936170214,24035,32.40425531914894,3046
ABC,5,18,1,9,162.77777777777777,1465,29.333333333333332,264,305.8888888888889,2753,45.22222222222222,407
ABC,5,19,0,85,694.4235294117647,59026,47.870588235294115,4069,1909.3411764705882,162294,134.42352941176472,11426
ABC,5,19,1,5,117.4,587,25.0,125,306.6,1533,30.8,154
ABC,5,20,0,71,170.42253521126761,12100,76.61971830985915,5440,312.38028169014086,22179,45.2112676056338,3210
ABC,5,20,1,2,128.5,257,33.0,66,353.0,706,49.5,99
ABC,5,21,0,76,122.48684210526316,9309,65.8157894736842,5002,221.01315789473685,16797,22.657894736842106,1722
ABC,5,21,1,4,221.25,885,79.0,316,575.5,2302,33.25,133
ABC,5,22,0,87,284.6896551724138,24768,58.4367816091954,5084,374.51724137931035,32583,48.71264367816092,4238
ABC,5,22,1,9,115.33333333333333,1038,37.44444444444444,337,264.8888888888889,2384,19.0,171
