author_handle,month,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
FoxNews,4,1,239,300.6192468619247,71848,190.3765690376569,45500,997.468619246862,238395,40.14644351464435,9595
FoxNews,5,0,2305,226.77223427331887,522710,184.72104121475056,425782,637.197830802603,1468741,39.826898047722345,91801
FoxNews,5,1,200,364.235,72847,228.735,45747,1170.47,234094,50.95,10190
FoxNews,6,0,2428,248.42298187808896,603171,201.62602965403624,489548,708.9283360790774,1721278,40.779242174629324,99012
FoxNews,6,1,302,315.2086092715232,95193,193.56291390728478,58456,985.4271523178808,297599,37.02980132450331,11183
FoxNews,7,0,2625,242.92190476190476,637670,192.61447619047618,505613,701.3805714285714,1841124,37.664,98868
FoxNews,7,1,322,227.0527950310559,73111,173.27950310559007,55796,772.0652173913044,248605,36.816770186335404,11855
FoxNews,8,0,3198,223.80550343964978,715730,194.78705440900563,622929,635.3642901813633,2031895,36.25359599749844,115939
FoxNews,8,1,438,266.76027397260276,116841,205.68949771689498,90092,871.0707762557078,381529,38.5662100456621,16892
FoxNews,9,0,2649,213.32049830124575,565086,193.44469611174029,512435,629.9667799169498,1668782,34.62249905624764,91715
FoxNews,9,1,386,206.0,79516,179.08549222797927,69127,692.2253886010362,267199,40.733160621761655,15723
FoxNews,10,0,2787,257.89486903480446,718753,233.4768568353068,650700,758.4298528884104,2113744,40.132400430570506,111849
FoxNews,10,1,301,315.2624584717608,94894,242.96345514950167,73132,973.2524916943522,292949,42.59136212624585,12820
FoxNews,11,0,2692,173.8781575037147,468080,184.85846953937593,497639,497.03677563150075,1338023,32.01151560178306,86175
FoxNews,11,1,355,187.30704225352113,66494,188.1549295774648,66795,607.3690140845071,215616,32.78591549295775,11639
FoxNews,12,0,2817,196.29783457578984,552971,195.59637912673057,550995,594.6727014554491,1675193,32.57756478523252,91771
FoxNews,12,1,420,215.0452380952381,90319,177.3190476190476,74474,739.6880952380952,310669,25.82857142857143,10848
HuffPost,3,0,953,153.51626442812173,146301,56.41448058761805,53763,321.0167890870934,305929,36.47429171038825,34760
HuffPost,3,1,246,111.09349593495935,27329,26.134146341463413,6429,235.3170731707317,57888,28.869918699186993,7102
HuffPost,4,0,1165,114.36652360515022,133237,42.51502145922747,49530,253.67210300429184,295528,25.21716738197425,29378
HuffPost,4,1,381,75.249343832021,28670,23.19685039370079,8838,194.95275590551182,74277,15.808398950131233,6023
HuffPost,5,0,246,134.65853658536585,33126,55.10162601626016,13555,263.4756097560976,64815,31.170731707317074,7668
HuffPost,5,1,121,92.29752066115702,11168,26.024793388429753,3149,216.86776859504133,26241,16.082644628099175,1946
HuffPost,6,0,283,148.38162544169612,41992,55.685512367491164,15759,321.63250883392226,91022,79.03533568904594,22367
HuffPost,6,1,114,84.30701754385964,9611,21.157894736842106,2412,195.69298245614036,22309,10.894736842105264,1242
HuffPost,7,0,674,99.1320474777448,66815,55.02967359050445,37090,246.97774480712167,166463,27.94213649851632,18833
HuffPost,7,1,151,63.503311258278146,9589,41.80794701986755,6313,190.9271523178808,28830,29.132450331125828,4399
HuffPost,8,0,872,117.94954128440367,102852,60.12614678899082,52430,324.94380733944956,283351,29.42775229357798,25661
HuffPost,8,1,230,85.22608695652174,19602,38.917391304347824,8951,228.47826086956522,52550,21.821739130434782,5019
HuffPost,9,0,907,120.53583241455347,109326,71.1135611907387,64500,330.0143329658214,299323,41.3406835722161,37496
HuffPost,9,1,241,73.95435684647303,17823,26.016597510373444,6270,210.05809128630705,50624,14.232365145228215,3430
HuffPost,10,0,929,136.53390742734123,126840,60.82777179763186,56509,385.1453175457481,357800,23.533907427341227,21863
HuffPost,10,1,220,68.00454545454545,14961,24.663636363636364,5426,193.99545454545455,42679,12.122727272727273,2667
HuffPost,11,0,922,84.31887201735358,77742,50.57809110629067,46633,205.2819956616052,189270,29.03470715835141,26770
HuffPost,11,1,211,96.33175355450237,20326,30.165876777251185,6365,248.11848341232226,52353,13.753554502369669,2902
HuffPost,12,0,900,73.92333333333333,66531,47.705555555555556,42935,196.59555555555556,176936,19.82111111111111,17839
HuffPost,12,1,259,61.69111969111969,15978,22.571428571428573,5846,177.53667953667954,45982,27.594594594594593,7147
MSNBC,1,0,745,131.18120805369128,97730,85.80268456375839,63923,274.0912751677852,204198,26.64295302013423,19849
MSNBC,1,1,159,159.49056603773585,25359,75.49056603773585,12003,359.42767295597486,57149,21.50314465408805,3419
MSNBC,2,0,681,157.44787077826726,107222,120.52422907488987,82077,310.40822320117474,211388,31.57562408223201,21503
MSNBC,2,1,129,128.7984496124031,16615,109.96124031007751,14185,250.03100775193798,32254,22.503875968992247,2903
MSNBC,3,0,809,155.82694684796044,126064,119.3423980222497,96548,297.0803461063041,240338,27.359703337453645,22134
MSNBC,3,1,134,84.5,11323,112.4776119402985,15072,168.52985074626866,22583,23.111940298507463,3097
MSNBC,4,0,751,117.36617842876166,88142,102.11717709720372,76690,215.3195739014647,161705,20.197070572569906,15168
MSNBC,4,1,91,91.92307692307692,8365,95.52747252747253,8693,190.1098901098901,17300,15.857142857142858,1443
MSNBC,5,0,789,144.723700887199,114187,107.07984790874525,84486,274.93029150823827,216920,20.6489226869455,16292
MSNBC,5,1,132,163.86363636363637,21630,114.57575757575758,15124,305.5378787878788,40331,79.51515151515152,10496
MSNBC,6,0,782,121.59974424552429,95091,125.2685421994885,97960,258.87595907928386,202441,20.074168797953963,15698
MSNBC,6,1,106,100.29245283018868,10631,140.5566037735849,14899,230.10377358490567,24391,24.10377358490566,2555
MSNBC,7,0,713,130.0883590462833,92753,145.2328190743338,103551,271.6647966339411,193697,23.720897615708274,16913
MSNBC,7,1,87,96.91954022988506,8432,113.63218390804597,9886,203.54022988505747,17708,19.448275862068964,1692
MSNBC,8,0,744,131.34543010752688,97721,143.56720430107526,106814,294.10349462365593,218813,22.338709677419356,16620
MSNBC,8,1,75,106.49333333333334,7987,97.74666666666667,7331,237.45333333333335,17809,12.773333333333333,958
MSNBC,9,0,711,143.9057665260197,102317,110.0534458509142,78248,291.38396624472574,207174,19.454289732770746,13832
MSNBC,9,1,101,181.75247524752476,18357,85.5940594059406,8645,435.76237623762376,44012,15.396039603960396,1555
MSNBC,10,0,630,151.35714285714286,95355,134.6968253968254,84859,328.6793650793651,207068,24.21904761904762,15258
MSNBC,10,1,93,141.58064516129033,13167,144.03225806451613,13395,313.13978494623655,29122,47.29032258064516,4398
MSNBC,11,0,776,116.69072164948453,90552,89.9278350515464,69784,243.63659793814432,189062,15.029639175257731,11663
MSNBC,11,1,113,87.20353982300885,9854,102.73451327433628,11609,188.78761061946904,21333,12.415929203539823,1403
MSNBC,12,0,804,129.1679104477612,103851,97.0087064676617,77995,265.202736318408,213223,14.685323383084578,11807
